Código;Reservatório;Cota;Capacidade;Volume;VolumePercentual;DataInformacao;
12172;EPITÁCIO PESSOA;0,00;411,69;36,44;8,85;21/06/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;37,82;9,19;06/06/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;38,09;9,25;02/06/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;39,54;9,60;16/05/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;40,82;9,92;02/05/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,18;10,25;15/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,18;10,25;13/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,25;10,26;12/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,18;10,25;11/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,25;10,26;10/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,40;10,30;09/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;42,55;10,34;08/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;43,30;10,52;01/04/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;44,81;10,88;17/03/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;46,45;11,28;01/03/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;47,47;11,53;16/02/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;48,83;11,86;04/02/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;50,11;12,17;19/01/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;49,94;12,13;18/01/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;51,05;12,40;06/01/2016;
12172;EPITÁCIO PESSOA;0,00;411,69;52,75;12,81;17/12/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;54,74;13,30;01/12/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;56,74;13,78;16/11/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;59,21;14,38;29/10/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;61,11;14,84;15/10/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;62,25;15,12;07/10/2015;
12172;EPITÁCIO PESSOA;0,00;411,69;63,01;15,31;01/10/2015;
12172;EPITÁCIO PESSOA;;411,69;63,49;15,42;28/09/2015;
12172;EPITÁCIO PESSOA;;411,69;65,44;15,90;15/09/2015;
12172;EPITÁCIO PESSOA;;411,69;67,44;16,38;31/08/2015;
12172;EPITÁCIO PESSOA;;411,69;69,23;16,82;17/08/2015;
12172;EPITÁCIO PESSOA;;411,69;69,44;16,87;14/08/2015;
12172;EPITÁCIO PESSOA;;411,69;70,81;17,20;03/08/2015;
12172;EPITÁCIO PESSOA;;411,69;71,65;17,40;23/07/2015;
12172;EPITÁCIO PESSOA;;411,69;72,28;17,56;15/07/2015;
12172;EPITÁCIO PESSOA;;411,69;72,81;17,69;10/07/2015;
12172;EPITÁCIO PESSOA;;411,69;72,91;17,71;09/07/2015;
12172;EPITÁCIO PESSOA;;411,69;73,02;17,74;08/07/2015;
12172;EPITÁCIO PESSOA;;411,69;73,12;17,76;06/07/2015;
12172;EPITÁCIO PESSOA;;411,69;73,54;17,86;01/07/2015;
12172;EPITÁCIO PESSOA;;411,69;73,96;17,96;25/06/2015;
12172;EPITÁCIO PESSOA;;411,69;74,17;18,02;22/06/2015;
12172;EPITÁCIO PESSOA;;411,69;75,07;18,23;15/06/2015;
12172;EPITÁCIO PESSOA;;411,69;75,42;18,32;12/06/2015;
12172;EPITÁCIO PESSOA;;411,69;75,89;18,43;09/06/2015;
12172;EPITÁCIO PESSOA;;411,69;76,47;18,57;02/06/2015;
12172;EPITÁCIO PESSOA;;411,69;76,82;18,66;29/05/2015;
12172;EPITÁCIO PESSOA;;411,69;77,40;18,80;25/05/2015;
12172;EPITÁCIO PESSOA;;411,69;77,87;18,91;22/05/2015;
12172;EPITÁCIO PESSOA;;411,69;77,99;18,94;21/05/2015;
